seed,dataset,algorithm,fold
42,diabetes,CBM_KE,1
43,balance-scale,CBM,7
44,wdbc,CBM,8
42,balance-scale,CBM_KE,9
44,wdbc,CBM,2
42,wdbc,CBM,9
44,wdbc,CBM,7
43,blood,CBM,3
42,balance-scale,CBM_KE,3
44,wdbc,CBM_KE,2
43,wdbc,CBM_KE,3
43,wdbc,CBM,8
44,wdbc,CBM,6
42,balance-scale,CBM_KE,0
43,wdbc,CBM_KE,8
42,blood,CBM_KE,8
44,wdbc,CBM,0
44,wdbc,CBM,1
44,wdbc,CBM,4
42,wdbc,CBM_KE,9
43,wdbc,CBM_KE,9
42,wdbc,CBM_KE,6
42,wdbc,CBM_KE,2
43,wdbc,CBM,6
43,wdbc,CBM,5
43,wdbc,CBM,9
42,balance-scale,CBM,2
