seed,dataset,algorithm,fold
42,phoneme,LightGBM_T,9
42,phoneme,LightGBM_T,3
43,phoneme,LightGBM_T,5
43,phoneme,LightGBM_T,6
44,phoneme,LightGBM_T,0
44,phoneme,LightGBM_T,2
44,phoneme,LightGBM_T,4
44,phoneme,LightGBM_T,1
42,spambase,FIGS_T,6
42,spambase,FIGS_T,7
43,spambase,FIGS_T,8
42,spambase,FIGS_T,3
43,spambase,FIGS_T,0
42,spambase,FIGS_T,5
42,spambase,FIGS_T,4
43,spambase,FIGS_T,4
43,spambase,FIGS_T,2
44,spambase,FIGS_T,5
44,spambase,FIGS_T,6
44,spambase,FIGS_T,2
44,spambase,FIGS_T,0
44,spambase,FIGS_T,8
44,spambase,FIGS_T,7
44,spambase,FIGS_T,3
44,spambase,FIGS_T,9
44,spambase,FIGS_T,4
44,spambase,FIGS_T,1
