Dataset,Algorithm,AUC_ROC_mean,AUC_ROC_std,AUC_ROC_count,Accuracy_mean,Accuracy_std,Accuracy_count,Precision_mean,Precision_std,Precision_count,Recall_mean,Recall_std,Recall_count,F1_macro_mean,F1_macro_std,F1_macro_count,MCC_mean,MCC_std,MCC_count
kr-vs-kp,RandomForest,0.9993651062996002,0.0010817610752116161,30,0.991760710553814,0.004305602969162149,30,0.991912965719216,0.004347171221885321,30,0.9916261976856545,0.0042697945784524035,30,0.991742534506097,0.004313327379864164,30,0.983539019267002,0.008605323262455547,30
kr-vs-kp,RuleFit,0.9936490753101991,0.002810299051389064,30,0.9652703761755486,0.009377784911780221,30,0.9653572914613764,0.009195689630916734,30,0.9656766762375052,0.009378886464554993,30,0.9652233173718396,0.009395150824007594,30,0.9310333340078658,0.01854668763453193,30
kr-vs-kp,SVM_RBF,0.9970374133551193,0.001381857394427437,30,0.9689233934169279,0.007945736172130647,30,0.9689443943300087,0.008059868512824349,30,0.9689648087870247,0.007749474570105711,30,0.9688687066910692,0.007947634997611065,30,0.9379089671845303,0.015797942628606128,30
kr-vs-kp,TabPFN,0.999797135268879,0.00028177939102630776,30,0.9941578500522466,0.004703519677165791,30,0.9942337851084468,0.004666996196576647,30,0.9941003635920124,0.004731935268384096,30,0.9941456059530278,0.0047130770622413175,30,0.9883340583286643,0.009390434444453755,30
kr-vs-kp,XGBoost,0.9997141233797673,0.0004053234687181035,30,0.9940540099268547,0.004136716853533588,30,0.9941591130402069,0.004078986540086736,30,0.9939634576735762,0.004187802675674739,30,0.9940406959850207,0.004146170261054589,30,0.9881224577726153,0.008256149379679006,30
magic,CBM,0.9167694021400236,0.0144424277066582,30,0.8668666666666667,0.01586523706493025,30,0.860178526707115,0.02021843056307614,30,0.845964836168226,0.014688361563998198,30,0.851383981108031,0.016074502685734043,30,0.7058346216354863,0.031703373342213584,30
magic,CBM_KE,0.9299276779048531,0.015157521719560127,30,0.8726333333333333,0.0325072759317933,30,0.8721092903387738,0.03147674565565778,30,0.8496376624003743,0.02368457758803954,30,0.8571941498110791,0.030896225830566452,30,0.7211998035140881,0.053108177927232936,30
magic,CatBoost,0.9350229246710603,0.008543863765390314,30,0.8833333333333333,0.011345159482270877,30,0.8852009775603599,0.011560724151568696,30,0.8555050910587634,0.014837233379210767,30,0.8671081579521683,0.013640413502915194,30,0.7400684297525216,0.0257137946577007,30
magic,DT_depth3,0.8348958876946447,0.014602132427940978,30,0.7732333333333333,0.016005782001241444,30,0.7543065443064592,0.01511693258662121,30,0.7659236135281333,0.013884050167937988,30,0.7575879900484138,0.015029072073855664,30,0.5200517409004223,0.028191930135479538,30
magic,DT_depth5,0.8682033584912681,0.012016269967233997,30,0.8168000000000001,0.011792458139231042,30,0.8010132860972671,0.014752464238155318,30,0.7967740921978209,0.010567794477648154,30,0.797893849057865,0.011070081149933601,30,0.5976323523765613,0.02199422657692685,30
