Dataset,mode,sub_seed,Algorithm,CV index,Status,Accuracy,AUC_ROC,Precision,Recall,F1_macro,MCC,wall_s
bank,nonstrat,103,CBM_KE,4,OK,0.8885,0.8818330208919904,0.7393689467312349,0.6202625932869067,0.6517798655370592,0.3393354109800728,2336.4
bank,nonstrat,103,CatBoost,0,OK,0.908,0.9343564894743368,0.7987771739130435,0.7097501883840938,0.7433028551976987,0.5006738200190939,0.6
bank,nonstrat,103,CatBoost,1,OK,0.8985,0.9164313852669331,0.7676982253693505,0.6825537252358378,0.7135905515921472,0.44212807321045694,0.6
bank,nonstrat,103,CatBoost,2,OK,0.908,0.9351362565457512,0.7987771739130435,0.7097501883840938,0.7433028551976987,0.5006738200190939,0.6
bank,nonstrat,103,CatBoost,3,OK,0.91,0.9270241565865724,0.8047890347617868,0.7192613554014337,0.7521999140959703,0.5170240105579781,0.6
bank,nonstrat,103,CatBoost,4,OK,0.8995,0.9204949641108251,0.767793062200957,0.7042582309880037,0.7297978524978576,0.4677560781263153,0.6
bank,nonstrat,103,TabPFN,0,OK,0.9085,0.940370472820229,0.798455949137148,0.7154851725025992,0.7475149887106087,0.507199494022797,9.5
bank,nonstrat,103,TabPFN,1,OK,0.905,0.9313757284979827,0.7836423444976077,0.7171329371703279,0.7440394879712031,0.49633897838732566,6.5
bank,nonstrat,103,TabPFN,2,OK,0.9125,0.9428862350842722,0.8098801379270227,0.7286577514093038,0.7606593765792207,0.5323776687457803,7.1
bank,nonstrat,103,TabPFN,3,OK,0.912,0.9375046034608521,0.8048560468231285,0.738478279980707,0.7658951848895983,0.5392644831178762,7.9
bank,nonstrat,103,TabPFN,4,OK,0.901,0.9310609462577131,0.7706946616037524,0.7159587434868454,0.7388248702038749,0.4835654205525586,7.5
bank,strat,101,CBM_KE,0,OK,0.907,0.917432558004472,0.7769681116093672,0.7582687225948834,0.7671361502347418,0.5349100873412965,2194.6
bank,strat,101,CBM_KE,1,OK,0.911,0.9269438878725402,0.7952949141067953,0.7364365846812053,0.761225103021978,0.5284638907821065,2119.9
bank,strat,101,CBM_KE,2,OK,0.888,0.9062176341338288,0.7288188484943049,0.7271200549796246,0.7279645188008093,0.4559357386755328,2192.8
bank,strat,101,CBM_KE,3,OK,0.9045,0.9232535741595764,0.7791830414457501,0.7068051804744897,0.7353102378812624,0.480568410412525,2300.9
bank,strat,101,CBM_KE,4,OK,0.911,0.906636273000939,0.8059686792081158,0.7104858146760752,0.7459784681074539,0.5075512455249537,2061.9
bank,strat,101,CatBoost,0,OK,0.9025,0.9234132860973178,0.7769816510804122,0.6871364133538539,0.7197822923964002,0.455338787049893,0.7
bank,strat,101,CatBoost,1,OK,0.9145,0.9413518405590886,0.8188318099302525,0.7180285739175887,0.7554052227421649,0.5273118426079832,0.7
bank,strat,101,CatBoost,2,OK,0.898,0.9072170436836349,0.7606516290726817,0.677173776267774,0.7075277203506227,0.429793594243349,0.7
bank,strat,101,CatBoost,3,OK,0.907,0.9300340718800515,0.7842104614018426,0.7230498204450639,0.7483521122187227,0.5035596980866907,0.7
bank,strat,101,CatBoost,4,OK,0.9085,0.9199117228562301,0.7922501968240279,0.7164846918527552,0.7463967200642462,0.5030614030249458,0.7
bank,strat,101,TabPFN,0,OK,0.904,0.9357716022495186,0.7763090936847998,0.710229307624551,0.7368356127207085,0.48203016277292304,13.9
bank,strat,101,TabPFN,1,OK,0.9115,0.9439822477761324,0.7947507734918006,0.744134216104771,0.7660387384332923,0.5365025592956502,13.7
bank,strat,101,TabPFN,2,OK,0.899,0.9221501098624542,0.7575569030272863,0.7203734355489735,0.7368249625431568,0.47648168724297013,14.0
