Seed,Dataset,Algorithm,CV index,Status,Accuracy,AUC_ROC,Precision,Recall,F1_macro,MCC,wall_s
43,magic,TabICLv2,5,OK,0.894,0.9493456951084069,0.8993299519615309,0.8660090693988999,0.8790086931112573,0.7646133247610778,2.1
43,magic,TabICLv2,6,OK,0.893,0.9445563852343513,0.8938611966068613,0.8685090803734872,0.8789207881690899,0.7619486265002272,2.2
43,magic,TabICLv2,7,OK,0.911,0.9607241471648251,0.9119568435857577,0.8908796790152722,0.8999000124843805,0.8025598016071964,2.2
43,magic,TabICLv2,8,OK,0.893,0.9428747252747253,0.8937701820437977,0.8682417582417583,0.8787330665460797,0.7615842019868461,2.1
43,magic,TabICLv2,9,OK,0.904,0.9456307692307693,0.9027647134768255,0.883956043956044,0.8921076765388143,0.7864958894530891,2.1
43,mfeat-factors,TabICLv2,0,OK,0.995,0.9998888888888888,0.9952380952380953,0.9949999999999999,0.9949968730456537,0.9944720690522652,2.8
43,mfeat-factors,TabICLv2,1,OK,0.995,1.0,0.9952380952380953,0.9949999999999999,0.9949968730456537,0.9944720690522652,3.0
43,mfeat-factors,TabICLv2,2,OK,0.995,1.0,0.9952380952380953,0.9949999999999999,0.9949968730456537,0.9944720690522652,2.2
43,mfeat-factors,TabICLv2,3,OK,0.98,0.9994444444444444,0.9813852813852815,0.9800000000000001,0.9799686834346655,0.9779407814928016,3.0
43,mfeat-factors,TabICLv2,4,OK,1.0,1.0,1.0,1.0,1.0,1.0,2.9
43,mfeat-factors,TabICLv2,5,OK,0.98,0.9998333333333334,0.981147186147186,0.9800000000000001,0.979971810389012,0.9779136085456454,2.7
43,mfeat-factors,TabICLv2,6,OK,0.985,0.9999444444444444,0.9854761904761904,0.985,0.984993746091307,0.9833879675158538,3.1
43,mfeat-factors,TabICLv2,7,OK,0.99,1.0,0.9904761904761905,0.99,0.9899937460913071,0.9889438317391072,3.0
43,mfeat-factors,TabICLv2,8,OK,0.98,1.0,0.9813852813852814,0.9800000000000001,0.9798337306681336,0.9779679567052196,3.4
43,mfeat-factors,TabICLv2,9,OK,0.99,0.9999722222222222,0.9902380952380951,0.99,0.9899968730456535,0.9889163591692915,2.6
43,optdigits,TabICLv2,0,OK,0.99644128113879,0.9999965790914066,0.9965809468147283,0.9964598997493734,0.9964898772747945,0.996052715000505,2.0
43,optdigits,TabICLv2,1,OK,0.994661921708185,0.9999964138425677,0.9947325169626687,0.9947335423197492,0.9946877756099927,0.994079051528606,2.5
43,optdigits,TabICLv2,2,OK,1.0,1.0,1.0,1.0,1.0,1.0,2.4
43,optdigits,TabICLv2,3,OK,0.99644128113879,0.9999894678091543,0.9964901477832513,0.9964598997493734,0.9964597647446821,0.9960492941209135,1.8
43,optdigits,TabICLv2,4,OK,0.99644128113879,1.0,0.9964912280701753,0.9964274322169059,0.9964277015507023,0.9960527982459517,2.5
43,optdigits,TabICLv2,5,OK,0.99644128113879,0.9999859387295382,0.9965214761040532,0.9964598997493734,0.9964751479167955,0.9960492802408012,2.7
43,optdigits,TabICLv2,6,OK,0.9911032028469751,0.9999682933314581,0.9913188142770719,0.9911016176805652,0.991116138337517,0.9901354097475867,2.5
43,optdigits,TabICLv2,7,OK,0.9928825622775801,0.9999895228571566,0.9931618936294566,0.9928571428571429,0.9929167480141994,0.9921124665765446,1.8
43,optdigits,TabICLv2,8,OK,0.994661921708185,0.9999683483794604,0.9947660098522167,0.9946741854636592,0.9946892986263899,0.9940757002238751,2.3
43,optdigits,TabICLv2,9,OK,0.994661921708185,0.9999964709203839,0.9947357618183389,0.9946741854636592,0.9946739080915687,0.9940757210346883,2.5
43,page-blocks,TabICLv2,0,OK,0.9817518248175182,0.9983911761026851,0.9495649263721553,0.8811314363143632,0.9093059628543501,0.900515358209928,1.7
43,page-blocks,TabICLv2,1,OK,0.9744525547445255,0.9965713002910667,0.8786250597800095,0.896040856631488,0.8773617688563279,0.8665529423381977,2.0
43,page-blocks,TabICLv2,2,OK,0.9781021897810219,0.9838074752875261,0.9060750360750361,0.8695827933098809,0.8783018536568232,0.8833048578220766,1.3
43,page-blocks,TabICLv2,3,OK,0.979890310786106,0.9933658593699717,0.9297856614929785,0.8549363286634162,0.884744085869926,0.8932639718963099,1.2
43,page-blocks,TabICLv2,4,OK,0.9762340036563071,0.9966986459874928,0.874660243407708,0.8848320269908865,0.8751735591046925,0.8729664758432121,1.8
43,page-blocks,TabICLv2,5,OK,0.9707495429616088,0.9962336062414066,0.8635511557290698,0.8811824970684441,0.8675050981490994,0.8486780977874889,1.1
43,page-blocks,TabICLv2,6,OK,0.9689213893967094,0.9903838658904984,0.8168521705871103,0.7498858236129112,0.7769321204518033,0.8286101323364525,2.0
43,page-blocks,TabICLv2,7,OK,0.979890310786106,0.9975684666824481,0.9301061972650567,0.9131148552737148,0.9171583865618279,0.8941513394985028,1.7
43,page-blocks,TabICLv2,8,OK,0.979890310786106,0.9980048929104898,0.8328905177984932,0.919179600886918,0.8617278310004188,0.8954447091316352,1.6
43,page-blocks,TabICLv2,9,OK,0.9725776965265083,0.9969594492212618,0.8783899927802367,0.7554878048780488,0.797847112237356,0.8529844965499294,2.2
43,pendigits,TabICLv2,0,OK,0.996,0.9999924876245817,0.9961630036630037,0.9961628258472919,0.9961583363242402,0.9955557728838279,2.0
43,pendigits,TabICLv2,1,OK,1.0,1.0,1.0,1.0,1.0,1.0,2.0
43,pendigits,TabICLv2,2,OK,0.999,0.9999988583301936,0.9990476190476191,0.9989690721649485,0.9990033963854525,0.9988897977359459,1.4
43,pendigits,TabICLv2,3,OK,0.998,0.9999988368711834,0.9979269602577873,0.9978947368421054,0.9979054473791317,0.9977784618654362,1.7
43,pendigits,TabICLv2,4,OK,0.998,0.9999942701919584,0.9979874595469257,0.9979381443298969,0.9979523654824753,0.9977796077461024,2.0
43,pendigits,TabICLv2,5,OK,1.0,1.0,1.0,1.0,1.0,1.0,1.9
43,pendigits,TabICLv2,6,OK,0.997,0.9999945641642551,0.9970641374769948,0.9970352564102564,0.9970397411772829,0.9966682706735409,1.5
43,pendigits,TabICLv2,7,OK,0.995,0.9988531541854748,0.994960854505415,0.99488253370341,0.9949067308006085,0.9944467103618347,1.8
43,pendigits,TabICLv2,8,OK,0.998,0.9999988368711834,0.9980166912125675,0.9979858299595141,0.9979912040689124,0.9977795879957613,1.9
43,pendigits,TabICLv2,9,OK,0.997,0.9999988477138644,0.9968857388316152,0.9970352564102564,0.9969457646224757,0.9966694450281094,1.7
43,phoneme,TabICLv2,0,OK,0.9408502772643254,0.9862688926207646,0.9287431262142316,0.9287431262142316,0.9287431262142316,0.8574862524284632,1.0
43,phoneme,TabICLv2,1,OK,0.922365988909427,0.9720438605156574,0.9007823613086771,0.9174898745431197,0.9084381044487427,0.8181016507546109,1.8
43,phoneme,TabICLv2,2,OK,0.9316081330868762,0.9778557081234154,0.9170029527559055,0.9185271164674504,0.9177598737864476,0.8355286790418186,1.8
43,phoneme,TabICLv2,3,OK,0.9353049907578558,0.9823339589713195,0.9254589080170476,0.9174734103855906,0.9213326298208951,0.8428944923507475,1.9
43,phoneme,TabICLv2,4,OK,0.9203703703703704,0.9779640797932267,0.9082636749008325,0.8973258665252833,0.9025348494578973,0.805515284524806,1.7
43,phoneme,TabICLv2,5,OK,0.912962962962963,0.9756196567035589,0.897780817753458,0.8902346079925774,0.8938781312850447,0.7879792928319564,1.5
43,phoneme,TabICLv2,6,OK,0.9351851851851852,0.9826363576115051,0.9210865151290051,0.9226423222214859,0.9218591728648743,0.8437274029217625,1.6
43,phoneme,TabICLv2,7,OK,0.912962962962963,0.974169925111008,0.897780817753458,0.8902346079925774,0.8938781312850447,0.7879792928319564,1.7
43,phoneme,TabICLv2,8,OK,0.9166666666666666,0.9748922894072204,0.9053846153846155,0.891472292378547,0.8980015866419855,0.796735450898505,1.6
43,phoneme,TabICLv2,9,OK,0.9314814814814815,0.9834018389210782,0.920849875513088,0.9129648888228594,0.9167746208413344,0.833777481231957,1.2
43,satimage,TabICLv2,0,OK,0.9409020217729394,0.9956130431146565,0.9307122732583762,0.9238428865865215,0.9265338412230698,0.9271236276761664,2.1
43,satimage,TabICLv2,1,OK,0.9440124416796267,0.9957934126007583,0.9483093608819325,0.92653686091405,0.9349688659644002,0.9311787068899089,2.4
43,satimage,TabICLv2,2,OK,0.9486780715396579,0.9967948269561638,0.9423744928950074,0.9322103927624396,0.9366981602954606,0.9366744701309051,2.3
43,satimage,TabICLv2,3,OK,0.9580093312597201,0.9984591664283807,0.954870453592474,0.9455147671378028,0.9493319055959919,0.948316060301133,2.6
43,satimage,TabICLv2,4,OK,0.9471228615863142,0.9967164544910542,0.9408446905107505,0.9305166678208149,0.9350914972439041,0.934774749577951,2.5
43,satimage,TabICLv2,5,OK,0.9346811819595645,0.9946857260151383,0.9296769370765784,0.9147235607349801,0.9196946353886551,0.9195934316623074,2.5
43,satimage,TabICLv2,6,OK,0.9533437013996889,0.9973231973959821,0.9518476286326522,0.9408092500606756,0.9455918047594439,0.9424271119189297,2.3
43,satimage,TabICLv2,7,OK,0.9300155520995335,0.9925613823507137,0.9191024120473954,0.911816914559251,0.9140669278247963,0.9139072007736548,1.9
43,satimage,TabICLv2,8,OK,0.9315707620528771,0.9955906965603533,0.9233337761765683,0.9090109611919885,0.9145864858243232,0.915646962219897,2.0
43,satimage,TabICLv2,9,OK,0.9393468118195957,0.9962594811264625,0.9403308867406611,0.9264165359303909,0.9312168284644745,0.925465967398816,1.9
43,segment,TabICLv2,0,OK,0.9783549783549783,0.9997157724430453,0.9787915166066428,0.9783549783549784,0.9781265740126897,0.9748966898229371,1.8
43,segment,TabICLv2,1,OK,1.0,1.0,1.0,1.0,1.0,1.0,2.0
43,segment,TabICLv2,2,OK,0.9956709956709957,0.9996064541519087,0.9957983193277311,0.9956709956709957,0.9956700016401508,0.9949712488986399,2.1
43,segment,TabICLv2,3,OK,0.987012987012987,0.999628317810136,0.9872676343264579,0.987012987012987,0.9870766049870527,0.9848700179453542,1.9
43,segment,TabICLv2,4,OK,0.9913419913419913,0.9999344090253182,0.9918367346938776,0.9913419913419913,0.9914027149321267,0.9899639247273518,2.2
43,segment,TabICLv2,5,OK,0.9783549783549783,0.9998032270759544,0.9784823020117138,0.9783549783549784,0.9783539843241336,0.9747687869920686,1.5
43,segment,TabICLv2,6,OK,0.987012987012987,0.9998688180506362,0.9871403106697224,0.987012987012987,0.9870119929821423,0.9848700179453542,1.7
43,segment,TabICLv2,7,OK,1.0,1.0,1.0,1.0,1.0,1.0,1.7
43,segment,TabICLv2,8,OK,1.0,1.0,1.0,1.0,1.0,1.0,1.7
43,segment,TabICLv2,9,OK,0.987012987012987,0.9998250907341816,0.9870050292844411,0.987012987012987,0.9869453929155422,0.9848700179453542,1.5
43,spambase,TabICLv2,0,OK,0.9522776572668112,0.9923588955847019,0.9517509032437368,0.9481566820276498,0.9498714907077896,0.8999004076023234,2.8
43,spambase,TabICLv2,1,OK,0.9586956521739131,0.9909107111031902,0.9563404221677603,0.9572169745935564,0.9567735458056985,0.9135569762380223,2.5
43,spambase,TabICLv2,2,OK,0.9717391304347827,0.9945939523554921,0.9692028985507246,0.9718509277411433,0.9704800691102061,0.9410501006428786,1.9
43,spambase,TabICLv2,3,OK,0.9565217391304348,0.994178102536684,0.9544545436543298,0.9544545436543298,0.9544545436543298,0.9089090873086596,2.4
43,spambase,TabICLv2,4,OK,0.9543478260869566,0.9925939127507475,0.952579365079365,0.9516921127151032,0.9521305853844667,0.9042710425175816,1.9
