Seed,Dataset,Algorithm,CV index,Status,Accuracy,AUC_ROC,Precision,Recall,F1_macro,MCC,Train time [s],wall_s,Train size,Test size,Number of classes,n_trials,num_concepts,rule_budget,concept_dropout_p,lambda_concept,kd_alpha_hard,kd_temperature
44,balance-scale,CBM,0,OK,0.9682539682539683,0.9801217038539555,0.9773946360153257,0.9218390804597701,0.9458189925752755,0.9441805553803166,164.16254687309265,164.2,562,63,3,40,4,8,0.0,0.5894188444823693,,
44,balance-scale,CBM,1,OK,0.9841269841269841,1.0,0.9444444444444445,0.9885057471264368,0.9638490164805954,0.9729158085985287,142.8477942943573,142.9,562,63,3,40,4,8,0.0,0.5894188444823693,,
44,balance-scale,CBM,2,OK,0.9523809523809523,0.997971602434077,0.9210454296661194,0.9655172413793104,0.9406588571742837,0.9177707830099481,150.70689177513123,150.7,562,63,3,40,4,8,0.0,0.5894188444823693,,
44,balance-scale,CBM,5,OK,1.0,1.0,1.0,1.0,1.0,1.0,152.659654378891,152.7,563,62,3,40,2,4,0.0,1.6302135737726753,,
44,balance-scale,CBM,6,OK,0.9032258064516129,0.9500724312163408,0.8086080586080587,0.8754515599343184,0.8295870795870797,0.8394941432174503,154.55531334877014,154.6,563,62,3,40,4,8,0.0,0.5894188444823693,,
44,bank,CBM_KE,0,OK,0.899,0.9133617424242424,0.7613608450012281,0.7518939393939394,0.7564944849617263,0.5131674691587071,3077.438289642334,3077.5,9000,1000,2,40,3,4,0.0,0.05180068709382614,0.24489775328985336,4.169180711585749
44,bank,CBM_KE,1,OK,0.89,0.9249715909090909,0.7937924498499447,0.5704545454545454,0.5936220833148615,0.2877430347525736,2968.0628023147583,2968.1,9000,1000,2,40,12,18,0.0,1.8955027929433053,0.3684979656589718,2.0189076314114156
44,bank,CBM_KE,2,OK,0.901,0.9132102272727273,0.7659929726747394,0.7602272727272728,0.7630620992698005,0.5261886575887679,3290.5762968063354,3290.6,9000,1000,2,40,2,4,0.0,1.0896755526798811,0.21276320246654662,1.335537418426334
44,bank,CBM_KE,3,OK,0.9,0.926221590909091,0.7684232774411723,0.7164772727272728,0.7383596194702305,0.48211010790889275,3250.7906444072723,3250.8,9000,1000,2,40,2,4,0.0,1.0896755526798811,0.21276320246654662,1.335537418426334
44,bank,CBM_KE,4,OK,0.906,0.9275660733929427,0.7879034603082291,0.7327259564305795,0.7560621159275868,0.5176972403245202,3139.8834030628204,3139.9,9000,1000,2,40,6,15,0.0,3.056157892621368,0.7171667893277034,3.9475045759904672
44,bank,CBM_KE,5,OK,0.915,0.9252625541797121,0.8048518896833503,0.7806062486484453,0.7919924432078191,0.5849558792163205,2580.5799379348755,2580.6,9000,1000,2,40,7,14,0.0,4.040228836202934,0.2130817617486669,2.3233185366269224
